internal_id,external_id,subject,topic,difficulty,question_text,option_count,option_a,option_b,option_c,option_d,option_e,options_json,answer_index_zero_based,answer_letter,answer_text,explanation,explanation_status,diagram_url,audit_explicit_visual_hold,audit_hold_reason,source_id,source_slug,source_label,source_type,source_active,question_created_at
"1470011","BIO-OWNER-20260822-011","Biology","Transport","medium","When a plant cell is placed in a dilute solution, it becomes","4","turgid","plasmolysed","flaccid because it loses water","dead immediately","","[""turgid"",""plasmolysed"",""flaccid because it loses water"",""dead immediately""]","0","A","turgid","A dilute external solution has a higher water potential than the cell sap, so water enters the plant cell by osmosis. The vacuole expands and pushes the cytoplasm against the cell wall, making the cell turgid. The cell wall prevents it from bursting and provides resistance to further expansion. Plasmolysis occurs when a plant cell loses water in a concentrated solution, not when it gains water in a dilute one.","needs_review","","no","","23430001","authorised-1-1787420639375","Owner-supplied Biology segments · 22 Aug 2026","authorised","1","2026-08-22T17:43:59.000Z"
"1470012","BIO-OWNER-20260822-012","Biology","Transport","medium","Which sequence shows the correct order of organization from simplest to most complex?","4","Organ → tissue → cell → system","Cell → tissue → organ → system","Tissue → cell → system → organ","Cell → organ → tissue → system","","[""Organ → tissue → cell → system"",""Cell → tissue → organ → system"",""Tissue → cell → system → organ"",""Cell → organ → tissue → system""]","1","B","Cell → tissue → organ → system","A cell is the basic unit of life. Similar cells working together form a tissue; different tissues combine to form an organ; and organs that cooperate to perform major functions form an organ system. For example, muscle cells form muscle tissue, tissues form the heart, and the heart is part of the circulatory system. This sequence shows increasing complexity and specialization.","needs_review","","no","","23430001","authorised-1-1787420639375","Owner-supplied Biology segments · 22 Aug 2026","authorised","1","2026-08-22T17:43:59.000Z"
"1470013","BIO-OWNER-20260822-013","Biology","Living organisms and organization","medium","A group of similar cells performing a common function is called a","4","tissue","system","species","population","","[""tissue"",""system"",""species"",""population""]","0","A","tissue","A tissue consists of similar cells that are structurally adapted to carry out a particular function. Examples include epithelial tissue, muscle tissue, and xylem tissue. Several tissues may combine to form an organ with a more complex function. A system consists of cooperating organs, while a population refers to members of the same species living in an area.","needs_review","","no","","23430001","authorised-1-1787420639375","Owner-supplied Biology segments · 22 Aug 2026","authorised","1","2026-08-22T17:43:59.000Z"
"1470014","BIO-OWNER-20260822-014","Biology","Nutrition and digestion","medium","An organism that manufactures its own organic food is described as","4","holozoic","autotrophic","parasitic","saprophytic","","[""holozoic"",""autotrophic"",""parasitic"",""saprophytic""]","1","B","autotrophic","Autotrophic nutrition is the mode of nutrition in which an organism makes organic food from inorganic materials. Green plants achieve this mainly through photosynthesis, using light energy, carbon dioxide, and water. A holozoic organism ingests solid food, a parasite obtains nutrients from a host, and a saprophyte feeds on dead organic matter. Therefore, only “autotrophic” fits the definition.","needs_review","","no","","23430001","authorised-1-1787420639375","Owner-supplied Biology segments · 22 Aug 2026","authorised","1","2026-08-22T17:43:59.000Z"
"1470015","BIO-OWNER-20260822-015","Biology","Nutrition and digestion","medium","The raw materials required for photosynthesis are","4","oxygen and glucose","carbon dioxide and water","starch and oxygen","proteins and mineral salts only","","[""oxygen and glucose"",""carbon dioxide and water"",""starch and oxygen"",""proteins and mineral salts only""]","1","B","carbon dioxide and water","During photosynthesis, green plants use carbon dioxide from the atmosphere and water absorbed by the roots. Chlorophyll traps light energy, which drives the conversion of these raw materials into glucose and oxygen. Oxygen is released as a by-product, while glucose is the main organic product. Mineral salts are important for plant growth, but they are not the two main raw materials in the photosynthesis equation.","needs_review","","no","","23430001","authorised-1-1787420639375","Owner-supplied Biology segments · 22 Aug 2026","authorised","1","2026-08-22T17:43:59.000Z"
"1470016","BIO-OWNER-20260822-016","Biology","Nutrition and digestion","medium","Chlorophyll is important in photosynthesis because it","4","absorbs light energy","absorbs oxygen from the atmosphere","digests starch","transports sugar through the phloem","","[""absorbs light energy"",""absorbs oxygen from the atmosphere"",""digests starch"",""transports sugar through the phloem""]","0","A","absorbs light energy","Chlorophyll is the green pigment found in chloroplasts. Its main role is to absorb light energy and make that energy available for the chemical reactions of photosynthesis. The absorbed energy helps convert carbon dioxide and water into glucose. Chlorophyll does not digest starch, absorb oxygen as its primary function, or transport sugar; sugar transport is carried out through phloem tissue.","needs_review","","no","","23430001","authorised-1-1787420639375","Owner-supplied Biology segments · 22 Aug 2026","authorised","1","2026-08-22T17:43:59.000Z"
"1470017","BIO-OWNER-20260822-017","Biology","Nutrition and digestion","medium","The main function of stomata is to","4","anchor the plant in the soil","regulate gaseous exchange and water loss","transport water from roots to leaves","manufacture proteins in the leaf","","[""anchor the plant in the soil"",""regulate gaseous exchange and water loss"",""transport water from roots to leaves"",""manufacture proteins in the leaf""]","1","B","regulate gaseous exchange and water loss","Stomata are tiny pores, usually found in the epidermis of leaves, and are controlled by guard cells. They allow carbon dioxide to enter for photosynthesis and permit oxygen and water vapour to leave. By opening and closing, they help balance the need for carbon dioxide with the need to reduce excessive water loss. Roots anchor plants, xylem transports water, and ribosomes are responsible for protein synthesis.","needs_review","","no","","23430001","authorised-1-1787420639375","Owner-supplied Biology segments · 22 Aug 2026","authorised","1","2026-08-22T17:43:59.000Z"
"1470018","BIO-OWNER-20260822-018","Biology","Nutrition and digestion","medium","A plant that lacks nitrogen is likely to show","4","luxuriant green leaves","stunted growth and yellowing of older leaves","excessive flowering only","immediate root destruction","","[""luxuriant green leaves"",""stunted growth and yellowing of older leaves"",""excessive flowering only"",""immediate root destruction""]","1","B","stunted growth and yellowing of older leaves","Nitrogen is needed to form amino acids, proteins, nucleic acids, and chlorophyll. A deficiency therefore reduces growth and may cause chlorosis, a yellowing of leaves. Nitrogen is mobile within the plant, so symptoms commonly appear first in older leaves as nitrogen is moved to younger tissues. The deficiency does not normally cause immediate destruction of the roots or guaranteed excessive flowering.","needs_review","","no","","23430001","authorised-1-1787420639375","Owner-supplied Biology segments · 22 Aug 2026","authorised","1","2026-08-22T17:43:59.000Z"
"1470019","BIO-OWNER-20260822-019","Biology","Nutrition and digestion","medium","The reagent used to test for starch is","4","Benedict’s solution","Iodine solution","Biuret reagent","Sudan III solution","","[""Benedict’s solution"",""Iodine solution"",""Biuret reagent"",""Sudan III solution""]","1","B","Iodine solution","Iodine solution gives a blue-black colour in the presence of starch. Benedict’s solution is used to test for reducing sugars and changes from blue through green, yellow, or orange to brick-red when heated, depending on the amount present. Biuret reagent tests for proteins and produces a violet colour, while Sudan III is used to test for lipids. Each food test depends on a specific chemical reaction.","needs_review","","no","","23430001","authorised-1-1787420639375","Owner-supplied Biology segments · 22 Aug 2026","authorised","1","2026-08-22T17:43:59.000Z"
"1470020","BIO-OWNER-20260822-020","Biology","Nutrition and digestion","medium","A positive Biuret test for protein produces a","4","blue-black colour","brick-red precipitate","violet or purple colour","white emulsion","","[""blue-black colour"",""brick-red precipitate"",""violet or purple colour"",""white emulsion""]","2","C","violet or purple colour","The Biuret test detects peptide bonds in proteins. When Biuret reagent is added to a substance containing protein, a violet or purple colour develops. Iodine gives a blue-black colour with starch, Benedict’s solution detects reducing sugars, and the ethanol-emulsion test produces a cloudy white appearance for lipids. Therefore, the violet colour identifies a positive protein test.","needs_review","","no","","23430001","authorised-1-1787420639375","Owner-supplied Biology segments · 22 Aug 2026","authorised","1","2026-08-22T17:43:59.000Z"
"1470021","BIO-OWNER-20260822-021","Biology","Nutrition and digestion","medium","Enzymes are best described as","4","biological catalysts","stored waste products","inorganic salts","hormones produced only by plants","","[""biological catalysts"",""stored waste products"",""inorganic salts"",""hormones produced only by plants""]","0","A","biological catalysts","Enzymes are mostly proteins that speed up chemical reactions in living organisms without being permanently used up. They lower the activation energy required for a reaction and are usually specific to particular substrates. Enzyme activity is affected by temperature, pH, and substrate concentration. They are not waste products, and they are found in both plants and animals.","needs_review","","no","","23430001","authorised-1-1787420639375","Owner-supplied Biology segments · 22 Aug 2026","authorised","1","2026-08-22T17:43:59.000Z"
"1470022","BIO-OWNER-20260822-022","Biology","Nutrition and digestion","medium","Very high temperatures usually reduce enzyme activity because they","4","increase the enzyme’s water content","denature the enzyme’s active site","convert enzymes into carbohydrates","make all reactions stop permanently in every organism","","[""increase the enzyme’s water content"",""denature the enzyme’s active site"",""convert enzymes into carbohydrates"",""make all reactions stop permanently in every organism""]","1","B","denature the enzyme’s active site","Enzymes have a specific three-dimensional shape, including an active site that fits their substrate. Excessive heat breaks bonds maintaining this shape, causing denaturation. Once the active site changes shape, the substrate may no longer fit, so the reaction rate falls sharply. The effect may be irreversible, unlike the temporary slowing that occurs when temperature is merely below the optimum.","needs_review","","no","","23430001","authorised-1-1787420639375","Owner-supplied Biology segments · 22 Aug 2026","authorised","1","2026-08-22T17:43:59.000Z"
"1470023","BIO-OWNER-20260822-023","Biology","Nutrition and digestion","medium","The enzyme that begins the digestion of starch in the mouth is","4","pepsin","amylase","lipase","trypsin","","[""pepsin"",""amylase"",""lipase"",""trypsin""]","1","B","amylase","Salivary glands release amylase, also called ptyalin, into the mouth. It begins breaking down starch into smaller sugars such as maltose. Pepsin digests proteins in the stomach, lipase breaks down fats, and trypsin digests proteins in the small intestine. Chewing also increases the surface area of food, helping enzymes act more efficiently.","needs_review","","no","","23430001","authorised-1-1787420639375","Owner-supplied Biology segments · 22 Aug 2026","authorised","1","2026-08-22T17:43:59.000Z"
"1470024","BIO-OWNER-20260822-024","Biology","Nutrition and digestion","medium","Most absorption of digested food takes place in the","4","mouth","stomach","small intestine","large intestine","","[""mouth"",""stomach"",""small intestine"",""large intestine""]","2","C","small intestine","The small intestine is specialized for absorption because its inner surface has numerous villi and microvilli. These structures greatly increase the surface area available for absorbing glucose, amino acids, fatty acids, glycerol, vitamins, minerals, and water. A rich blood supply and lacteals transport the absorbed nutrients away. The large intestine mainly absorbs water and mineral salts rather than most digested food nutrients.","needs_review","","no","","23430001","authorised-1-1787420639375","Owner-supplied Biology segments · 22 Aug 2026","authorised","1","2026-08-22T17:43:59.000Z"
"1470025","BIO-OWNER-20260822-025","Biology","Nutrition and digestion","medium","The organisms that make their own food and form the first trophic level are called","4","consumers","decomposers","producers","parasites","","[""consumers"",""decomposers"",""producers"",""parasites""]","2","C","producers","Producers are organisms, mainly green plants and algae, that manufacture organic food using light energy through photosynthesis. They form the first trophic level and provide energy and food for organisms at higher levels. Consumers obtain food by feeding on other organisms, decomposers break down dead organic material, and parasites obtain nutrients from living hosts. Without producers, most ecosystems would lack their main energy input.","needs_review","","no","","23430001","authorised-1-1787420639375","Owner-supplied Biology segments · 22 Aug 2026","authorised","1","2026-08-22T17:43:59.000Z"
"1470026","BIO-OWNER-20260822-051","Biology","Support and movement","medium","The tissue that provides mechanical support and flexibility in young plant stems is","4","collenchyma","epidermis","phloem","meristem","","[""collenchyma"",""epidermis"",""phloem"",""meristem""]","0","A","collenchyma","Collenchyma consists of living cells with unevenly thickened walls. It supports young stems, petioles, and leaf veins while allowing them to bend without breaking. Sclerenchyma provides stronger support in mature parts but is largely made of dead, lignified cells. The epidermis protects the plant, phloem transports food, and meristematic tissue produces new cells.","needs_review","","no","","23430001","authorised-1-1787420639375","Owner-supplied Biology segments · 22 Aug 2026","authorised","1","2026-08-22T17:43:59.000Z"
"1470027","BIO-OWNER-20260822-052","Biology","Support and movement","medium","The strength of mature woody stems is mainly due to","4","lignin","chlorophyll","starch","cellulose only","","[""lignin"",""chlorophyll"",""starch"",""cellulose only""]","0","A","lignin","Lignin is a hard substance deposited in the walls of many mature xylem and sclerenchyma cells. It gives rigidity and helps the plant withstand bending and compression. Cellulose also contributes to cell-wall structure, but lignification is especially responsible for the strength of woody tissues. Chlorophyll is a photosynthetic pigment, while starch is a food-storage product.","needs_review","","no","","23430001","authorised-1-1787420639375","Owner-supplied Biology segments · 22 Aug 2026","authorised","1","2026-08-22T17:43:59.000Z"
"1470028","BIO-OWNER-20260822-053","Biology","Support and movement","medium","The skeleton of a vertebrate provides","4","support, protection, and attachment for muscles","digestion of proteins","production of bile only","absorption of glucose from the intestine","","[""support, protection, and attachment for muscles"",""digestion of proteins"",""production of bile only"",""absorption of glucose from the intestine""]","0","A","support, protection, and attachment for muscles","The vertebrate skeleton gives the body shape, protects delicate organs, and provides surfaces to which muscles attach. Bones also contain marrow, which produces some blood cells, and serve as stores for minerals such as calcium. Digestion occurs in the alimentary canal, bile is produced by the liver, and glucose is absorbed through the small intestine. Therefore, option A describes the main skeletal functions.","needs_review","","no","","23430001","authorised-1-1787420639375","Owner-supplied Biology segments · 22 Aug 2026","authorised","1","2026-08-22T17:43:59.000Z"
"1470029","BIO-OWNER-20260822-054","Biology","Support and movement","medium","The joint at the elbow is mainly a","4","ball-and-socket joint","hinge joint","pivot joint","gliding joint","","[""ball-and-socket joint"",""hinge joint"",""pivot joint"",""gliding joint""]","1","B","hinge joint","A hinge joint permits movement mainly in one plane, similar to the opening and closing of a door. The elbow allows the forearm to bend and straighten. The shoulder and hip are ball-and-socket joints, the neck contains a pivot joint, and gliding joints occur between some wrist and ankle bones. Joint structure determines the range and direction of movement.","needs_review","","no","","23430001","authorised-1-1787420639375","Owner-supplied Biology segments · 22 Aug 2026","authorised","1","2026-08-22T17:43:59.000Z"
"1470030","BIO-OWNER-20260822-055","Biology","Support and movement","medium","The biceps and triceps muscles of the upper arm are described as antagonistic because they","4","contract at exactly the same time to produce one movement","work against each other to move a joint","are found only in the legs","cannot contract voluntarily","","[""contract at exactly the same time to produce one movement"",""work against each other to move a joint"",""are found only in the legs"",""cannot contract voluntarily""]","1","B","work against each other to move a joint","Antagonistic muscles produce opposite movements. When the biceps contracts and the triceps relaxes, the forearm bends; when the triceps contracts and the biceps relaxes, the forearm straightens. Muscles can pull but cannot push, so pairs are needed to move bones in opposite directions. These muscles are found in the upper arm and can be controlled voluntarily.","needs_review","","no","","23430001","authorised-1-1787420639375","Owner-supplied Biology segments · 22 Aug 2026","authorised","1","2026-08-22T17:43:59.000Z"
"1470031","BIO-OWNER-20260822-056","Biology","Reproduction","medium","The male reproductive structure of a flowering plant is the","4","carpel","stamen","ovary","sepal","","[""carpel"",""stamen"",""ovary"",""sepal""]","1","B","stamen","The stamen is the male reproductive part of a flower and consists of the filament and anther. The anther produces pollen grains, which contain the male gametes. The carpel, or pistil, is the female reproductive structure and includes the stigma, style, and ovary. Sepals protect the flower bud and are not reproductive organs.","needs_review","","no","","23430001","authorised-1-1787420639375","Owner-supplied Biology segments · 22 Aug 2026","authorised","1","2026-08-22T17:43:59.000Z"
"1470032","BIO-OWNER-20260822-057","Biology","Reproduction","medium","The part of a flower that receives pollen grains is the","4","anther","stigma","ovule","filament","","[""anther"",""stigma"",""ovule"",""filament""]","1","B","stigma","The stigma is the sticky tip of the carpel and receives pollen during pollination. Its surface helps trap pollen grains, after which a pollen tube may grow down through the style toward the ovary. The anther produces pollen, the filament supports the anther, and the ovule contains the female gamete. Thus, the stigma is adapted for pollen reception.","needs_review","","no","","23430001","authorised-1-1787420639375","Owner-supplied Biology segments · 22 Aug 2026","authorised","1","2026-08-22T17:43:59.000Z"
"1470033","BIO-OWNER-20260822-058","Biology","Reproduction","medium","Pollination is the transfer of pollen grains from the","4","stigma to the ovary","anther to the stigma","ovary to the anther","sepal to the filament","","[""stigma to the ovary"",""anther to the stigma"",""ovary to the anther"",""sepal to the filament""]","1","B","anther to the stigma","Pollination occurs when pollen moves from the anther to the stigma of a flower. It may be self-pollination, involving the same flower or plant, or cross-pollination, involving another plant of the same species. Fertilization is a later event involving the fusion of male and female gametes. Therefore, pollen transfer should not be confused with fertilization.","needs_review","","no","","23430001","authorised-1-1787420639375","Owner-supplied Biology segments · 22 Aug 2026","authorised","1","2026-08-22T17:43:59.000Z"
"1470034","BIO-OWNER-20260822-059","Biology","Reproduction","medium","After fertilization, the ovule develops into the","4","fruit","seed","leaf","sepal","","[""fruit"",""seed"",""leaf"",""sepal""]","1","B","seed","Following fertilization, the fertilized ovule develops into a seed, which contains the embryo and stored food or food-storage tissue. The ovary develops into the fruit, which protects and may help disperse the seeds. Petals and sepals generally wither after fertilization. This transformation is an important part of the reproductive cycle of flowering plants.","needs_review","","no","","23430001","authorised-1-1787420639375","Owner-supplied Biology segments · 22 Aug 2026","authorised","1","2026-08-22T17:43:59.000Z"
"1470035","BIO-OWNER-20260822-060","Biology","Reproduction","medium","Which condition is not directly required for the germination of most seeds?","4","Water","Oxygen","Suitable temperature","Bright sunlight","","[""Water"",""Oxygen"",""Suitable temperature"",""Bright sunlight""]","3","D","Bright sunlight","Most seeds require water to activate enzymes and swell, oxygen for respiration, and a suitable temperature for metabolic reactions. Bright sunlight is not generally essential for the initial stages of germination because the seed contains stored food. Once the seedling develops leaves, light becomes important for photosynthesis. Some seeds may require light or darkness for specific germination responses, but it is not a universal requirement.","needs_review","","no","","23430001","authorised-1-1787420639375","Owner-supplied Biology segments · 22 Aug 2026","authorised","1","2026-08-22T17:43:59.000Z"
"1470036","BIO-OWNER-20260822-061","Biology","Reproduction","medium","Vegetative propagation involves the production of new plants from","4","seeds only","vegetative parts such as stems, roots, or leaves","pollen grains only","animal gametes","","[""seeds only"",""vegetative parts such as stems, roots, or leaves"",""pollen grains only"",""animal gametes""]","1","B","vegetative parts such as stems, roots, or leaves","Vegetative propagation is a form of asexual reproduction in which new plants develop from non-reproductive parts of a parent plant. Examples include stem cuttings, runners, bulbs, tubers, and rhizomes. Because gamete fusion does not occur, the offspring are usually genetically similar to the parent. Seeds are products of sexual reproduction, although some plants can also reproduce through special seed-like processes.","needs_review","","no","","23430001","authorised-1-1787420639375","Owner-supplied Biology segments · 22 Aug 2026","authorised","1","2026-08-22T17:43:59.000Z"
"1470037","BIO-OWNER-20260822-062","Biology","Reproduction","medium","The organ in which the embryo develops in a mammal is the","4","ovary","uterus","oviduct","vagina","","[""ovary"",""uterus"",""oviduct"",""vagina""]","1","B","uterus","The uterus is a muscular organ where the embryo implants and develops during pregnancy. The ovary produces ova and hormones, while the oviduct is usually the site of fertilization and transports the ovum toward the uterus. The vagina serves as the birth canal and receives sperm during sexual intercourse. Each reproductive organ has a distinct role in reproduction.","needs_review","","no","","23430001","authorised-1-1787420639375","Owner-supplied Biology segments · 22 Aug 2026","authorised","1","2026-08-22T17:43:59.000Z"
"1470038","BIO-OWNER-20260822-063","Biology","Reproduction","medium","In humans, fertilization normally takes place in the","4","uterus","vagina","oviduct","ovary","","[""uterus"",""vagina"",""oviduct"",""ovary""]","2","C","oviduct","The sperm and ovum usually fuse in the oviduct, also called the fallopian tube. The resulting zygote then divides as it moves toward the uterus, where implantation occurs. The ovary releases the ovum, the uterus supports embryo development, and the vagina is the passage leading to the outside of the body. Therefore, the oviduct is the normal site of fertilization.","needs_review","","no","","23430001","authorised-1-1787420639375","Owner-supplied Biology segments · 22 Aug 2026","authorised","1","2026-08-22T17:43:59.000Z"
"1470039","BIO-OWNER-20260822-064","Biology","Reproduction","medium","Ovulation is the","4","release of a mature ovum from an ovary","implantation of an embryo in the uterus","fusion of sperm and ovum","breakdown of the uterine lining only","","[""release of a mature ovum from an ovary"",""implantation of an embryo in the uterus"",""fusion of sperm and ovum"",""breakdown of the uterine lining only""]","0","A","release of a mature ovum from an ovary","Ovulation is the release of a mature egg cell from an ovary. The ovum enters the oviduct, where it may be fertilized if sperm are present. Implantation occurs later when an embryo attaches to the uterine lining. Menstruation involves the shedding of the uterine lining when fertilization and implantation do not occur.","needs_review","","no","","23430001","authorised-1-1787420639375","Owner-supplied Biology segments · 22 Aug 2026","authorised","1","2026-08-22T17:43:59.000Z"
"1470040","BIO-OWNER-20260822-065","Biology","Growth","medium","Growth in living organisms is best described as","4","a reversible change in colour","an irreversible increase in size and dry mass","temporary movement from one place to another","loss of body material","","[""a reversible change in colour"",""an irreversible increase in size and dry mass"",""temporary movement from one place to another"",""loss of body material""]","1","B","an irreversible increase in size and dry mass","Biological growth involves a permanent increase in size, mass, cell number, or cell size. In plants, growth may continue at particular regions such as the tips of roots and shoots. The use of dry mass is important because water content can change temporarily without representing true growth. Movement, colour changes, and loss of material are not definitions of growth.","needs_review","","no","","23430001","authorised-1-1787420639375","Owner-supplied Biology segments · 22 Aug 2026","authorised","1","2026-08-22T17:43:59.000Z"
